satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary_usd
0.37,0.45,2,151,3,0,1,0,support,32591
0.1,0.83,6,292,4,0,1,0,support,42123
0.38,0.57,2,140,3,0,1,0,support,33471
0.9,1,5,221,5,0,1,0,support,40394
0.44,0.51,2,138,3,0,1,0,support,34383
0.36,0.5,2,132,3,0,1,0,technical,30601
0.31,0.84,7,133,5,0,1,0,technical,44324
0.1,0.84,6,283,4,1,1,0,technical,43591
0.42,0.48,2,129,3,0,1,0,management,31944
0.74,1,4,249,5,0,1,0,IT,45583
0.73,0.87,5,257,5,0,1,0,IT,41772
0.09,0.96,6,245,4,0,1,0,IT,44218
0.45,0.53,2,155,3,0,1,0,IT,37317
0.11,0.8,6,256,4,0,1,0,IT,40181
0.37,0.47,2,152,3,0,1,0,product_mng,34361
0.84,0.99,4,267,5,0,1,0,product_mng,45099
0.41,0.46,2,151,3,0,1,0,product_mng,35804
0.76,0.92,4,239,5,0,1,0,product_mng,39957
0.11,0.87,6,306,4,0,1,0,IT,43398
0.84,0.88,4,263,5,1,1,0,marketing,45554
0.39,0.5,2,147,3,0,1,0,marketing,34392
0.11,0.91,6,278,4,0,1,0,marketing,45926
0.45,0.56,2,154,3,0,1,0,marketing,34866
0.37,0.52,2,143,3,0,1,0,marketing,31749
0.4,0.52,2,155,3,0,1,0,marketing,34630
0.39,0.48,2,160,3,0,1,0,sales,35032
0.11,0.8,6,304,4,0,1,0,accounting,44814
0.83,1,5,240,5,0,1,0,support,48664
0.11,0.92,6,305,4,0,1,0,technical,47834
0.39,0.5,2,136,3,0,1,0,management,30121
0.45,0.45,2,132,3,0,1,0,marketing,34541
0.1,0.95,7,301,4,0,1,0,marketing,44913
0.9,0.98,5,243,6,0,1,0,marketing,47617
0.45,0.51,2,147,3,0,1,0,sales,36546
0.79,0.89,5,239,5,0,1,0,sales,41898
0.9,0.99,5,260,5,0,1,0,sales,47408
0.11,0.84,7,296,4,0,1,0,sales,48131
0.43,0.55,2,129,3,0,1,0,sales,34805
0.31,0.54,5,132,5,0,1,0,sales,43341
0.32,0.5,2,135,5,0,1,0,sales,35436
0.45,0.57,2,158,3,0,1,0,sales,32315
0.81,0.99,4,259,5,0,1,0,sales,41826
0.41,0.46,2,160,3,0,1,1,sales,32260
0.11,0.78,7,278,4,0,1,0,sales,46007
0.1,0.88,6,284,4,0,1,0,sales,46452
0.7,0.53,2,274,4,0,1,0,sales,42191
0.54,0.74,4,164,2,0,1,0,sales,36867
0.41,0.48,2,148,3,0,1,0,sales,33732
0.38,0.5,2,140,3,0,1,0,sales,36933
0.37,0.51,2,127,3,0,1,0,sales,31988
0.11,0.85,6,308,5,0,1,0,sales,55100
0.4,0.47,2,146,3,0,1,0,sales,35164
0.1,0.84,6,261,4,0,1,0,accounting,42307
0.89,0.99,5,257,5,0,1,0,accounting,42172
0.11,0.8,6,285,4,0,1,0,accounting,46856
0.36,0.55,2,141,3,0,1,0,hr,32791
0.4,0.46,2,127,3,0,1,0,hr,34435
0.09,0.85,6,297,4,0,1,0,hr,47433
0.4,0.46,2,143,3,0,1,0,hr,33267
0.37,0.55,2,152,3,0,1,0,technical,31783
0.44,0.51,2,156,3,0,1,0,technical,30312
0.09,0.8,7,283,5,0,1,0,technical,46833
0.92,0.87,4,226,6,1,1,0,technical,46040
0.74,0.91,4,232,5,0,1,0,technical,43235
0.09,0.82,6,249,4,0,1,0,technical,40735
0.89,0.95,4,275,5,0,1,0,technical,45282
0.09,0.8,6,304,4,0,1,0,technical,47563
0.27,0.54,7,278,3,0,1,0,technical,42490
0.1,0.91,6,287,4,0,1,0,technical,46134
0.1,0.89,7,285,4,0,1,0,technical,46695
0.77,0.94,5,226,6,0,1,0,support,41942
0.9,0.82,5,259,5,0,1,0,support,45844
0.39,0.5,2,135,3,0,1,0,support,34451
0.76,1,5,219,5,0,1,0,support,45657
0.1,0.93,6,256,4,0,1,0,support,46834
0.87,0.9,5,254,6,0,1,0,support,42755
0.38,0.5,2,153,3,0,1,0,support,31605
0.77,0.99,5,228,5,0,1,0,support,44687
0.78,0.87,4,228,5,0,1,0,support,43784
0.44,0.5,2,128,3,0,1,0,support,33987
0.38,0.52,2,153,3,0,1,0,support,43581
0.43,0.46,2,156,3,0,1,0,technical,35527
0.39,0.5,4,294,3,0,1,0,technical,45638
0.88,1,5,219,5,0,1,0,technical,45335
0.45,0.46,2,153,3,0,1,0,management,35578
0.4,0.53,2,151,3,0,1,0,IT,33061
0.36,0.51,2,155,3,0,1,0,IT,35947
0.36,0.48,2,158,3,0,1,0,IT,32267
0.9,0.98,5,245,5,0,1,0,IT,43657
0.43,0.53,2,131,3,0,1,0,IT,31636
0.89,0.87,5,225,5,0,1,0,product_mng,43454
0.1,0.84,6,286,4,0,1,0,product_mng,51486
0.37,0.5,2,135,3,0,1,0,product_mng,28381
0.37,0.51,2,153,3,0,1,0,product_mng,35665
0.87,0.9,5,252,5,0,1,0,IT,40568
0.4,0.56,2,149,3,0,1,0,accounting,32570
0.9,0.97,4,258,5,0,1,0,accounting,46722
0.37,0.46,2,158,3,0,1,0,hr,34360
0.44,0.54,2,149,3,0,1,0,hr,31055
0.85,0.95,5,236,5,0,1,0,hr,42011
0.78,0.98,5,239,6,0,1,0,marketing,47148
0.42,0.47,2,159,3,0,1,0,marketing,32424
0.92,0.99,5,255,6,0,1,0,sales,46791
0.11,0.83,6,244,4,0,1,0,accounting,43713
0.42,0.56,2,134,3,0,1,0,support,31370
0.48,0.57,4,270,4,0,1,0,technical,48459
0.83,0.85,4,255,5,0,1,0,management,45434
0.4,0.53,2,151,3,0,1,0,marketing,28787
0.43,0.45,2,135,3,0,1,0,marketing,33516
0.43,0.53,2,146,3,0,1,0,marketing,31945
0.1,0.97,7,254,4,0,1,0,sales,47131
0.1,0.87,7,289,4,0,1,0,sales,44768
0.37,0.46,2,156,3,0,1,0,sales,33813
0.38,0.53,2,156,3,0,1,0,sales,35362
0.4,0.5,2,128,3,0,1,0,sales,34864
0.89,0.86,5,275,5,0,1,0,sales,42749
0.45,0.46,2,155,3,0,1,0,sales,33213
0.37,0.48,2,159,3,0,1,0,sales,33062
0.46,0.49,2,148,3,0,1,0,sales,32066
0.87,0.91,4,228,5,0,1,0,sales,46913
0.11,0.84,6,298,4,0,1,0,sales,47312
0.79,0.87,5,261,5,0,1,0,sales,41897
0.79,0.92,5,254,6,0,1,0,sales,48494
0.19,0.59,7,192,3,0,1,0,sales,45705
0.87,0.98,4,248,5,0,1,0,sales,46081
0.6,0.92,2,258,5,0,1,0,sales,38401
0.44,0.45,2,156,3,0,1,0,sales,32889
0.11,0.81,6,266,4,1,1,0,sales,47867
0.42,0.54,2,156,3,0,1,0,sales,32330
0.88,0.88,5,232,5,1,1,0,accounting,44709
0.11,0.84,6,287,4,0,1,0,accounting,47686
0.46,0.46,2,154,3,0,1,0,accounting,31682
0.82,0.97,5,263,5,0,1,0,hr,45001
0.44,0.56,2,131,3,0,1,0,hr,24746
0.11,0.78,6,260,4,0,1,0,hr,41839
0.42,0.5,2,139,3,0,1,0,hr,32618
0.84,0.93,4,251,5,0,1,0,technical,40530
0.11,0.95,6,286,4,0,1,0,technical,49781
0.45,0.53,2,129,3,0,1,0,technical,29174
0.38,0.56,2,156,3,0,1,0,technical,32999
0.38,0.86,6,139,6,0,1,0,technical,41676
0.44,0.51,2,127,3,0,1,0,technical,36253
0.11,0.84,6,251,4,0,1,0,technical,40360
0.81,0.93,5,270,5,0,1,0,technical,48407
0.09,0.96,6,296,4,0,1,0,technical,46225
0.11,0.9,6,254,4,0,1,0,technical,41646
0.81,0.95,5,238,6,0,1,0,technical,46555
0.1,0.97,6,267,4,1,1,0,support,45247
0.74,0.89,5,229,6,0,1,0,support,43449
0.09,0.78,6,254,4,0,1,0,support,44274
0.82,0.81,4,233,4,1,1,0,support,40286
0.1,0.98,6,268,4,0,1,0,support,45083
0.27,0.56,3,301,3,0,1,0,support,43905
0.83,0.92,5,267,6,0,1,0,support,50815
0.1,0.93,6,289,4,1,1,0,support,42755
0.38,0.47,2,144,3,0,1,0,support,38832
0.4,0.56,2,148,3,0,1,0,support,28819
0.11,0.83,6,306,4,0,1,0,support,46320
0.11,0.79,6,292,4,0,1,1,technical,47470
0.82,0.91,5,232,5,0,1,0,technical,44302
0.36,0.48,2,137,3,0,1,0,technical,31593
0.4,0.46,2,128,3,0,1,0,management,32179
0.87,0.84,5,231,5,0,1,0,IT,42317
0.41,0.49,2,146,3,0,1,0,IT,32126
0.11,0.91,6,308,4,1,1,0,IT,48924
0.1,0.93,6,253,4,0,1,0,IT,44942
0.38,0.51,2,146,3,0,1,0,IT,31867
0.39,0.55,2,156,3,0,1,0,product_mng,36348
0.4,0.52,2,147,3,0,1,0,product_mng,34418
0.45,0.48,2,136,3,0,1,0,product_mng,35132
0.74,0.84,5,249,5,0,1,0,product_mng,46024
0.45,0.55,2,151,3,0,1,0,IT,31777
0.12,1,3,278,4,0,1,0,RandD,41199
0.1,0.77,7,250,5,0,1,0,RandD,48168
0.37,0.55,2,127,3,0,1,0,RandD,34175
0.89,0.87,5,255,5,0,1,0,RandD,44697
0.45,0.47,2,135,3,0,1,0,RandD,33343
0.37,0.46,2,149,3,0,1,0,marketing,36944
0.11,0.81,5,287,4,0,1,0,sales,43371
0.41,0.48,2,145,3,0,1,0,accounting,34917
0.1,0.94,6,285,4,0,1,0,support,45144
0.1,0.93,7,305,4,0,1,0,technical,47005
0.11,0.95,7,300,4,0,1,0,management,50046
0.4,0.54,2,139,3,0,1,0,marketing,35313
0.41,0.49,2,130,3,0,1,0,marketing,34833
0.1,0.81,6,268,4,0,1,0,marketing,48063
0.73,0.86,4,245,6,0,1,0,sales,44902
0.43,0.47,2,135,3,0,1,0,sales,34754
0.37,0.46,2,153,3,0,1,0,sales,33174
0.11,0.94,6,276,4,0,1,0,sales,46010
0.4,0.46,2,130,3,0,1,0,sales,32474
0.41,0.54,2,153,3,1,1,0,sales,34192
0.82,0.84,5,244,5,0,1,0,sales,45687
0.61,0.47,2,253,3,0,1,0,sales,36904
0.11,0.91,7,287,4,0,1,0,sales,51880
0.37,0.45,2,131,3,0,1,0,sales,30334
0.41,0.52,2,135,3,0,1,0,sales,30014
0.37,0.52,2,157,3,0,1,0,sales,37045
0.88,0.99,5,262,6,0,1,0,sales,48579
0.1,0.85,6,266,4,0,1,0,sales,46260
0.44,0.48,2,148,3,0,1,0,sales,35270
0.38,0.57,2,140,3,0,1,0,sales,33269
0.11,0.85,7,302,4,0,1,0,sales,45156
0.09,0.98,6,271,4,0,1,0,sales,45139
0.45,0.52,2,145,3,0,1,0,sales,31857
0.1,0.81,6,290,4,0,1,0,accounting,48337
0.45,0.47,2,151,3,0,1,0,accounting,33482
0.77,0.87,5,266,5,0,1,0,accounting,43236
0.44,0.51,2,140,3,0,1,0,hr,32496
0.39,0.5,2,142,3,0,1,0,hr,34432
0.1,0.91,6,246,4,0,1,0,hr,42290
0.09,0.89,7,308,5,0,1,0,hr,47144
0.37,0.47,2,141,3,0,1,0,technical,33959
0.9,1,5,232,5,0,1,0,technical,44212
0.41,0.56,2,143,3,0,1,0,technical,32182
0.37,0.52,2,155,3,0,1,0,technical,32872
0.1,0.86,6,278,4,0,1,0,technical,45880
0.81,1,4,253,5,0,1,0,technical,40129
0.11,0.8,6,282,4,0,1,0,technical,41981
0.11,0.84,7,264,4,0,1,0,technical,43703
0.4,0.46,2,149,3,0,1,0,technical,33216
0.09,0.8,6,304,5,0,1,0,technical,48877
0.48,0.93,3,219,6,0,1,0,technical,46338
0.91,0.91,4,262,6,0,1,0,support,47844
0.43,0.57,2,135,3,0,1,0,support,32650
0.33,0.88,6,219,5,0,1,0,support,43802
0.41,0.57,2,136,3,0,1,0,support,30593
0.41,0.55,2,154,3,0,1,0,support,33953
0.37,0.54,2,149,3,0,1,0,support,33028
0.31,0.62,6,135,5,0,1,0,support,40456
0.09,0.91,6,275,4,0,1,0,support,43081
0.1,0.87,6,290,4,0,1,0,support,47198
0.76,0.9,4,263,5,0,1,0,support,48081
0.41,0.54,2,145,3,0,1,0,support,33278
0.72,0.96,5,267,5,0,1,0,technical,46354
0.4,0.5,2,141,3,1,1,0,technical,35075
0.91,0.87,4,235,5,0,1,0,technical,41846
0.1,0.83,6,258,4,0,1,0,management,44860
0.4,0.56,2,131,3,0,1,0,IT,32881
0.82,0.86,5,243,5,0,1,0,IT,44394
0.1,0.82,6,266,4,0,1,0,IT,42767
0.37,0.45,2,142,3,0,1,0,IT,33461
0.36,0.51,2,135,3,0,1,0,IT,34294
0.39,0.48,2,141,3,0,1,0,product_mng,36977
0.36,0.57,2,142,3,0,1,0,product_mng,35798
0.86,0.84,5,254,5,0,1,0,product_mng,50082
0.73,0.99,5,262,5,0,1,0,product_mng,43181
0.56,0.71,4,296,2,0,1,0,IT,43580
0.44,0.56,2,158,3,0,1,0,accounting,34658
0.31,0.56,4,238,2,0,1,0,accounting,43974
0.77,0.93,4,231,5,0,1,0,hr,40629
0.44,0.45,2,156,3,0,1,0,hr,32000
0.38,0.46,2,145,3,0,1,0,hr,32051
0.45,0.48,2,144,3,0,1,0,marketing,28190
0.38,0.51,2,159,3,0,1,0,sales,32935
0.36,0.48,2,156,3,0,1,0,accounting,32202
0.75,0.9,5,256,5,0,1,0,support,45175
0.1,0.93,6,298,4,0,1,0,technical,47154
0.1,0.97,6,247,4,0,1,0,management,48440
0.45,0.5,2,157,3,0,1,0,marketing,36526
0.42,0.57,2,154,3,1,1,0,marketing,32557
0.78,1,4,253,5,0,1,0,marketing,41503
0.45,0.55,2,148,3,0,1,0,sales,34929
0.84,1,4,261,5,0,1,0,sales,40849
0.11,0.93,6,282,4,0,1,0,sales,50078
0.42,0.56,2,133,3,0,1,0,sales,35898
0.45,0.46,2,128,3,0,1,0,sales,31527
0.46,0.57,2,139,3,0,1,0,sales,28967
0.09,0.79,6,293,5,0,1,0,sales,50934
0.87,0.83,4,265,6,0,1,0,sales,45563
0.1,0.87,6,250,4,0,1,0,sales,46994
0.91,1,5,251,6,0,1,0,sales,42063
0.76,0.92,4,246,5,0,1,0,sales,41901
0.74,1,5,275,5,0,1,0,sales,45763
0.92,0.93,5,240,5,0,1,0,sales,44117
0.76,0.87,5,245,5,0,1,0,sales,43124
0.47,0.5,4,254,4,0,1,0,sales,43857
0.73,0.99,5,241,5,0,1,0,sales,41380
0.09,0.94,6,257,4,0,1,0,sales,43894
0.91,0.92,4,246,5,0,1,0,sales,43700
0.82,0.98,4,233,5,0,1,0,sales,44036
0.28,0.45,6,218,4,0,1,0,accounting,44079
0.84,0.99,4,262,6,0,1,0,accounting,42888
0.45,0.53,2,138,3,0,1,0,accounting,29364
0.45,0.54,2,142,3,0,1,0,hr,36594
0.91,0.97,5,233,5,0,1,0,hr,44480
0.42,0.48,2,155,3,0,1,0,hr,32178
0.82,1,4,229,6,0,1,0,hr,47927
0.11,0.9,6,264,4,0,1,0,technical,44889
0.42,0.53,3,199,4,0,1,0,technical,41598
0.82,0.85,4,223,5,0,1,0,technical,42418
0.09,0.96,6,268,4,0,1,0,technical,49951
0.1,0.94,6,287,4,0,1,0,technical,50138
0.86,1,5,257,5,0,1,0,technical,44227
0.4,0.46,2,143,3,0,1,0,technical,35878
0.45,0.46,2,130,3,0,1,0,technical,34413
0.42,0.51,2,136,3,0,1,0,technical,36521
0.74,0.92,4,261,5,0,1,0,technical,41737
0.55,0.6,3,180,4,0,1,0,technical,39415
0.37,0.45,2,126,3,0,1,0,support,35246
0.41,0.52,2,127,3,1,1,0,support,28253
0.89,0.65,5,195,6,0,1,0,support,40291
0.41,0.57,2,160,3,0,1,0,support,29201
0.44,0.51,2,150,3,0,1,0,support,33126
0.87,0.84,4,264,6,0,1,0,support,47593
0.1,0.84,6,309,4,0,1,0,support,50605
0.41,0.47,2,135,3,0,1,0,support,33235
0.11,0.85,6,261,4,0,1,0,support,48521
0.43,0.53,2,160,3,0,1,0,support,30849
0.77,0.9,4,237,5,0,1,0,support,38691
0.41,0.52,2,136,3,0,1,0,technical,32961
0.41,0.48,2,139,3,0,1,0,technical,34210
0.36,0.78,2,151,4,0,1,0,technical,35268
0.77,1,5,229,5,0,1,0,management,38281
0.81,0.98,5,245,5,0,1,0,IT,44027
0.39,0.54,2,127,3,0,1,0,IT,29388
0.09,0.94,6,283,5,0,1,0,IT,48724
0.44,0.46,2,143,3,0,1,0,IT,34366
0.1,0.84,5,298,4,0,1,0,IT,43050
0.36,0.48,2,159,3,0,1,0,product_mng,32965
0.81,0.92,5,239,5,0,1,0,product_mng,41301
0.81,0.9,4,226,5,0,1,0,product_mng,42243
0.85,0.98,5,248,5,0,1,0,product_mng,46787
0.1,0.87,6,286,4,0,1,0,IT,43235
0.37,0.54,2,145,3,0,1,0,RandD,34810
0.09,0.97,7,254,4,1,1,0,RandD,43674
0.44,0.53,2,127,3,0,1,0,RandD,30667
0.86,0.93,5,223,5,0,1,0,RandD,42882
0.77,1,4,255,5,0,1,0,RandD,41261
0.41,0.48,2,136,3,0,1,0,marketing,31715
0.4,0.48,2,137,3,0,1,0,sales,30155
0.43,0.49,2,135,3,0,1,0,accounting,37961
0.43,0.5,2,137,3,0,1,0,support,33238
0.8,0.53,3,255,5,0,1,0,technical,41200
0.8,0.85,4,273,5,0,1,0,management,45284
0.82,0.98,5,234,5,0,1,0,marketing,43419
0.37,0.54,2,152,3,0,1,0,marketing,33347
0.37,0.48,2,134,3,0,1,0,marketing,34535
0.09,0.95,6,292,4,0,1,0,sales,47893
0.9,0.92,5,245,5,0,1,0,sales,42923
0.41,0.52,2,159,3,0,1,0,sales,32810
0.1,0.85,6,260,4,0,1,0,sales,43712
0.44,0.53,2,149,3,0,1,0,sales,27995
0.89,0.85,5,266,5,0,1,0,sales,41512
0.42,0.56,2,149,3,0,1,0,sales,37167
0.87,1,5,242,5,0,1,0,sales,48212
0.45,0.57,2,134,3,0,1,0,sales,32377
0.11,0.87,5,271,4,0,1,0,sales,45491
0.09,0.79,6,275,4,0,1,0,sales,45928
0.76,0.83,5,227,5,0,1,0,sales,51047
0.11,0.96,7,277,5,0,1,0,sales,50448
0.37,0.49,2,151,3,0,1,0,sales,33530
0.1,0.79,6,274,4,0,1,0,sales,42711
0.77,0.87,4,242,6,0,1,0,sales,40683
0.42,0.54,2,143,3,1,1,0,sales,33958
0.38,0.52,2,145,3,0,1,0,sales,31659
0.32,0.95,5,172,2,0,1,0,sales,32544
0.38,0.49,2,135,3,0,1,0,accounting,31433
0.19,1,4,192,4,0,1,0,accounting,36496
0.1,0.83,7,276,4,0,1,0,accounting,50317
0.76,0.88,4,206,4,0,1,0,hr,42104
0.53,0.56,4,281,6,0,1,0,hr,46630
0.39,0.51,2,151,3,0,1,0,hr,37549
0.11,0.83,6,244,4,0,1,0,hr,43793
0.1,0.94,6,309,4,0,1,0,technical,44696
0.84,1,5,218,5,0,1,0,technical,46707
0.82,0.99,4,263,6,0,1,0,technical,47097
0.1,0.82,6,244,4,0,1,0,technical,41006
0.59,0.49,7,263,4,0,1,0,technical,44974
0.44,0.48,2,143,3,0,1,0,technical,31260
0.89,0.95,2,181,5,0,1,0,technical,34893
0.91,0.84,5,265,5,0,1,0,technical,47565
0.66,0.57,5,161,5,0,1,0,technical,44823
0.11,0.87,7,282,5,0,1,0,technical,44403
0.43,0.51,2,155,3,0,1,0,technical,35457
0.78,0.83,4,217,6,0,1,0,support,41823
0.11,0.97,6,289,5,0,1,0,support,46132
0.83,0.98,4,259,5,0,1,0,support,42569
0.39,0.54,2,158,3,0,1,0,support,32040
0.38,0.55,2,158,3,0,1,0,support,34321
0.37,0.57,2,155,3,0,1,0,support,31972
0.44,0.48,2,146,3,0,1,0,support,34276
0.53,0.85,2,164,5,0,1,0,support,37374
0.09,0.96,6,259,4,0,1,0,support,43752
0.11,0.89,6,293,4,0,1,0,support,43781
0.83,0.96,5,275,5,0,1,0,support,44308
0.88,1,5,219,6,1,1,0,technical,46338
0.1,0.89,6,247,4,0,1,0,technical,45002
0.09,0.86,7,309,4,0,1,0,technical,45306
0.44,0.54,2,151,3,0,1,0,management,34098
0.39,0.51,2,129,3,0,1,0,IT,34628
0.87,0.94,4,274,5,0,1,0,IT,40626
0.74,0.99,4,233,5,0,1,0,IT,44108
0.1,0.95,7,289,4,0,1,0,IT,45093
0.74,0.82,4,239,6,0,1,0,IT,45976
0.75,0.99,5,221,5,0,1,0,product_mng,41141
0.41,0.56,2,150,3,0,1,0,product_mng,29287
0.41,0.45,2,144,3,1,1,0,product_mng,29431
0.09,0.9,7,289,4,0,1,0,product_mng,46870
0.09,0.8,6,301,5,0,1,0,IT,48599
0.39,0.57,2,145,3,0,1,0,accounting,31289
0.4,0.56,2,137,3,0,1,0,accounting,34746
0.37,0.54,2,131,3,1,1,0,hr,28696
0.1,0.84,6,246,4,0,1,0,hr,43534
0.43,0.51,2,136,3,0,1,0,hr,30072
